-67.72	-37.77		349.409407895
-60.27	-38.38		112.576375502
-70.18	-20.55		55.9224324238
-71.53	-37.33		771.260283861
-68.3	-54.84		29.9847482684
-59.88	-36.76		135.889539314
-71.3	-41.14		840.688153749
-70.15	-20.22		18.1482940941
-70.41	-23.67		9.20041818039
-70.33	-27.37		388.66765085
-71.62	-33.04		4.42944156856
-70.74	-34.17		507.610481146
-71.67	-35.42		97.1311528222
-73.05	-36.82		26.0148859132
-72.07	-45.57		282.026583735
-70.91	-53.16		21.1726859505
-70.65	-33.44		575.76275683
-71.2	-30.6		240.704655203
-72.59	-38.73		142.038137195
-60.62	-25.95		111.434018354
-65.77	-28.47		510.670064232
-68.45	-22.75		3393.45379103
-72.59	-47.25		170.050639297
-69.76	-22.19		1858.5556263
-70.07	-20.18		1093.37892298
-69.59	-25.16		2482.17591938
-70.61	-33.98		679.368094423
-66.15	-39.16		166.196632471
-70.28	-37.37		844.548425718
-60.02	-34.89		55.1455856457
-72.08	-36.59		135.893115628
-69.35	-20.95		1483.32174821
-71	-31.19		973.087761122
-71.46	-31.4		306.291495272
-72.41	-35.33		14.2594945906
-71.89	-45.51		439.881379178
-70.07	-20.91		1052.36980574
-68.42	-31.98		551.768820426
-69.3	-31.78		2542.01179428
-69.22	-52.78		82.9064598714
-71.3	-32.56		85.3902451332
-70.66	-33.45		551.713904665
-67.84	-30.16		1380.3851703
-71.66	-31.15		86.4693979417
-60.67	-31.64		15.1270872467
-71.32	-42.91		580.88550187
-70.69	-26.58		22.1751709616
-71.85	-43.19		356.193842177
-70.18	-20.57		69.4632116183
-71.93	-35.01		31.485572235
-73.19	-36.74		-8.2039346588
-69.89	-20.28		1168.20094818
-71.23	-28.46		3.37180569214
-72.18	-34.94		47.9196796228
-73.89	-38.41		111.782738049
-70.13	-20.27		41.8144481771
-71.57	-52.85		76.714329975
-65.62	-27.58		373.993551072
-70.58	-23.29		278.793801705
-70.09	-29.98		2309.92586971
-66.85	-29.41		501.320636774
-65.59	-38		385.941636233
-71.08	-28.19		214.806452875
-69.29	-31.8		2497.68720182
-71.36	-38.45		923.837208119
-71.25	-29.91		29.8968336999
-60.63	-32.96		34.4150000641
-71.51	-31.91		13.3406617217
-63.01	-35.03		112.093320318
-66.31	-22.52		4180.76615406
-70.82	-35.81		1012.3754755
-70.25	-22.75		880.115330276
-69.4	-35.77		1514.48757489
-69.13	-26.84		3891.96767369
-73.47	-41.4		166.172909827
-68.87	-32.89		825.296323978
-68.59	-32.72		609.538014171
-67.7	-34.97		476.152737549
-68.33	-34.61		700.299617709
-71.83	-33.95		59.423661874
-64.45	-40.1		60.1870581574
-59.8	-32.38		44.289987512
-65.26	-35.11		308.107785456
-73.1	-40.59		46.651722522
-72.13	-40.66		451.91861587
-62.99	-40.79		38.9028803165
-70.15	-20.82		804.340113811
-70.6	-26.15		386.136987008
-71.96	-34.49		152.907386487
-60.56	-33.94		64.5073372404
-70.69	-30.84		942.786841226
-61.9	-35.8		82.4686122892
-71.64	-30.68		164.426544418
-72.34	-39.63		237.533705624
-73.58	-37.14		-3.07480967649
-72.5	-51.67		99.012784077
-60.47	-31.78		63.0510900821
-72.4	-41.13		209.041907962
-67.63	-54.93		7.93987554558
-72.12	-36.08		137.053075937
-73.66	-43.11		162.907915064
-71.7	-33.19		10.3571259355
-71.61	-33.65		64.9054207973
-67.75	-53.78		18.337551311
-67.75	-53.78		18.337551311
-73.38	-38.79		45.8900506993
-61.23	-30.3		78.1722161181
-70.78	-34.79		876.098467282
-71.73	-35.59		98.2746837346
-61.93	-37.45		235.686999397
-70.99	-33.77		993.464018398
-72.61	-38.76		104.056559046
-72.65	-44.42		53.3769552567
-71.65	-33.02		-2.07350025829
-70.27	-28.84		1314.12506655
-70.51	-33.49		1052.13252823
-72.34	-37.47		148.212151973
-69.21	-51.64		13.0508861119
-60.63	-32.95		26.2155968832
-68.57	-31.54		667.07360879
-70.76	-28.57		418.424624163
-71.64	-33.02		23.3896246232
-62.27	-38.7		30.124606408
-63.24	-32.42		202.47410854
-72.86	-36.42		30.2483161519
-73.19	-46.48		75.0440905214
-61.24	-24.28		156.212137415
-71.47	-32.55		4.19392818201
-70.07	-38.9		1029.78925179
