wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, primary_class 
CL1L00100007, GCN39, -52.8660, -73.1580, 6.9200, , 6
CL1L00204013, , -47.7200, -73.5200, 0.8000, , 6
AR1I60100001, Limite Sur 2, -50.7420, -73.0000, 2.0000, , 0
CL1L00203021, , -47.7300, -73.4100, 0.5000, , 4
AR1I60236023, de las Vacas, -49.0500, -72.8830, 0.8000, , 6
CL1L32100001, HPS10, -49.5500, -73.7100, 61.0000, , 4
AR1I60238006, los Portones, -49.1500, -72.8250, 1.5000, , 5
CL1L00204077, , -47.5900, -73.5100, 0.8000, , 6
AR1I60111014, S Ameghino 2, -50.4390, -73.1670, 1.5000, , 6
AR1I60220001, R Alfredo N, -49.7000, -72.9000, 0.6000, , 6
AR1I60114021, de la Laguna Roja, -49.7920, -73.1000, 3.5000, , 5
CL1L00204016, , -47.7500, -73.5200, 0.4000, , 6
CL1L00204010, , -47.6900, -73.5000, 0.9000, , 6
AR1I60110007, Cordoba 9, -50.6250, -73.0580, 3.0000, , 5
AR1I60210008, Cabecera 2, -49.9170, -72.9670, 2.0000, , 6
AR1L44211024, San Lorenzo S, -47.6670, -72.3000, 27.0000, , 5
CL1L51000003, HPN 1, -47.1410, -73.7530, 276.8000, , 4
CL1L00204068, , -47.4600, -73.5500, 0.6000, , 6
AR1I60220017, Viedma, -49.3500, -73.3500, 919.0000, , 4
AR1I60236015, L del Desierto 1 N, -49.0050, -72.8960, 0.5000, , 3
AR1L44211023, Piramide 50, -47.6830, -72.3830, 0.8000, , 6
CL1L00204070, , -47.4800, -73.5000, 1.5000, , 6
CL1L32100002, HPS12, -49.6300, -73.5900, 204.0000, , 4
CL1L00000034, GCN72, -53.0280, -73.0790, 0.4900, , 6
AR1I60114020, Bifurcado, -49.7890, -73.1250, 2.5000, , 5
CL1L00202052, , -47.3000, -73.1000, 3.4000, , 6
CL1L03132003, , -53.2330, -72.9670, 2.3000, , 2
CL1L00000028, GCN55, -52.9710, -72.9950, 0.0800, , 7
CL1L00202038, , -47.3200, -73.2600, 0.4000, , 7
CL1L00201012, , -47.1400, -73.2000, 1.8000, , 6
CL1L00100010, GCN46, -52.8710, -73.2310, 1.2800, , 6
CL1L00202050, , -47.2800, -73.1300, 0.4000, , 7
AR1I60111006, Portezuelo S de la Silla, -50.4830, -73.2250, 4.0000, , 5
CL1L00000024, GCN50, -52.9290, -73.0010, 0.1400, , 7
AR1I60110010, Grande 13, -50.5790, -73.0830, 10.0000, , 5
CL1L32100003, HPS13, -49.7400, -73.5800, 141.0000, , 4
CL1L00204078, , -47.6200, -73.5400, 0.9000, , 6
CL1L00202057, , -47.2400, -73.0500, 1.3000, , 6
AR1I60110015, del Monte 17, -50.5560, -73.0670, 3.0000, , 5
AR1I60110008, Parona 10, -50.6170, -73.0710, 8.0000, , 5
CL1L54300001, Exploradores, -46.5860, -73.2810, 94.8000, , 4
AR1L44211013, Tres Hermanos 2, -47.8330, -72.5000, 2.0000, , 6
AR1I60113004, Ante-cumbre N Cerro Heim, -50.1830, -73.3580, 0.6000, , 6
AR1L44220001, Afluente S Sangra, -48.4830, -72.5330, 2.0000, , 5
CL1L00204029, , -47.7500, -73.8000, 0.5000, , 6
AR1I60232011, Marconi, -49.2170, -73.1000, 13.5000, , 5
CL1L00202028, , -47.4600, -73.1800, 2.2000, , 4
CL1L00202046, , -47.2500, -73.1300, 1.4000, , 6
CL1L00201029, , -47.0900, -72.9500, 0.3000, , 4
CL1L00204003, , -47.6500, -73.5900, 0.6000, , 4
CL1L00202032, , -47.3900, -73.1900, 0.8000, , 4
CL1L00204066, , -47.4800, -73.6300, 0.7000, , 7
AR1I60210007, Cabecera 3, -49.9250, -72.9670, 2.0000, , 6
CL1L32000002, HPS8, -48.9800, -73.7300, 38.0000, , 4
AR1I60210001, Rio Guanaco S, -50.0170, -72.7170, 1.0000, , 5
CL1L00203037, , -47.5500, -73.3600, 0.6000, , 6
AR1L44211017, Valle San Lorenzo 2, -47.8000, -72.3830, 0.8000, , 6
CL1L03133002, , -53.2830, -72.9000, 1.2000, , 5
CL1L00204036, , -47.6500, -73.8000, 0.2000, , 7
CL1L03134003, , -53.2670, -72.8330, 0.4000, , 6
AR1I60236007, L del Desierto 9, -49.0530, -72.9360, 1.5000, , 6
CL1L00000008, GCN17, -52.7970, -72.9830, 0.1300, , 6
CL1L00202024, , -47.4500, -73.1200, 0.9000, , 6
CL1L00204027, , -47.7500, -73.7800, 0.7000, , 6
CL1L00100018, GCN07, -52.6930, -73.1020, 2.3600, , 6
CL1L00000004, GCN06, -52.6600, -72.9590, 0.1500, , 6
CL1L03011005, , -53.2670, -72.9500, 0.1000, , 6
CL1L00204069, , -47.4600, -73.5300, 8.2000, , 5
CL1L00202056, , -47.2200, -73.0500, 1.7000, , 6
CL1L00202031, , -47.4200, -73.1800, 1.0000, , 4
CL1L00203040, , -47.5500, -73.2800, 1.6000, , 5
CL1L42100001, Piscis, -47.4360, -73.4360, 12.0000, , 4
AR1I60113002, Spegazzini Alto S, -50.2830, -73.3720, 4.0000, , 5
CL1L00203017, , -47.6900, -73.2700, 0.6000, , 6
CL1L00202014, , -47.5000, -73.0500, 0.6000, , 6
CL1L00100013, GCN40, -52.8380, -73.1870, 15.0600, , 4
CL1L11120004, Dickson, -50.7700, -73.2100, 71.0000, , 4
CL1L00204009, , -47.6800, -73.5200, 1.5000, , 6
AR1I60114028, Gendarme Cerro Norte, -49.8250, -73.0670, 1.5000, , 6
CL1L00000019, GCN29, -52.8940, -72.9960, 1.9800, , 6
CL1L00201011, , -47.1900, -73.1500, 0.6000, , 7
CL1L03135001, , -53.3000, -72.8330, 5.2000, , 2
AR1I60210002, Cerro Camilo, -50.0250, -72.8170, 1.5000, , 5
CL1L00204065, , -47.4600, -73.6300, 0.3000, , 7
AR1I60235001, R Toro S, -49.0580, -73.0080, 3.5000, , 5
CL1L00203024, , -47.6500, -73.3600, 2.6000, , 5
AR1I60112011, de la Torre, -50.3830, -73.3330, 2.5000, , 6
CL1L00204045, , -47.5700, -73.7500, 0.2000, , 6
CL1L03011002, , -53.2500, -72.9830, 0.8000, , 5
CL1L00204004, , -47.6700, -73.5600, 0.5000, , 4
CL1L44400004, Mellizo Sur, -48.5600, -73.2300, 37.0000, , 4
AR1I60236001, L del Desierto 15, -49.0810, -72.9450, 1.2000, , 6
CL1L03011001, , -53.2670, -72.9830, 0.7000, , 5
AR1I60236013, L del Desierto 3, -49.0210, -72.9030, 0.8000, , 3
AR1I60111005, Moreno, -50.6000, -73.2300, 258.0000, , 4
CL1L00202036, , -47.3500, -73.2600, 1.2000, , 6
CL1L00000044, GCN33, -52.8910, -73.0490, 0.7800, , 6
AR1I60220005, Cumbre Cerro Moyano, -49.7500, -73.1330, 0.6000, , 3
AR1I60114017, E Phister, -49.7920, -73.1670, 4.0000, , 6
AR1I60112002, Peninsula Mayo-Ameghino 2, -50.3580, -73.1920, 5.0000, , 5
CL1L54100002, Gualas, -46.5790, -73.5390, 134.7000, , 4
CL1L00203004, , -47.6000, -73.2000, 0.6000, , 4
CL1L00203026, , -47.6700, -73.3200, 0.5000, , 6
CL1L00203031, , -47.6000, -73.4000, 1.0000, , 5
AR1I60212002, R Condor 4, -49.8000, -72.9870, 2.0000, , 5
CL1L00203043, , -47.5200, -73.3000, 1.9000, , 7
CL1L00204061, , -47.3900, -73.8000, 1.4000, , 6
CL1L23100002, HPS29, -50.5200, -73.4700, 82.0000, , 4
AR1I60210011, Nacimiento R Guanaco S, -49.8670, -73.0000, 2.0000, , 5
CL1L00203019, , -47.7500, -73.3500, 0.3000, , 6
CL1L22100001, HPS38, -51.0400, -73.5800, 62.0000, , 4
CL1L00204041, , -47.6300, -73.7300, 0.1000, , 7
CL1L42300003, Cachet, -47.0840, -73.3800, 39.1000, , 4
AR1I60238005, Cerro Bonete, -49.1000, -72.8670, 2.5000, , 5
CL1L42420001, Leones, -46.7890, -73.2780, 44.5000, , 4
CL1L00201009, , -47.2200, -73.1700, 1.0000, , 6
AR1I60113011, Agassiz, -50.0400, -73.4000, 50.0000, , 4
AR1I60100002, Limite Sur 3, -50.7580, -73.0170, 2.0000, , 0
CL1L52000002, Benito, -47.0480, -73.6610, 208.5000, , 4
CL1L00100012, GCN47, -52.8630, -73.2370, 0.8700, , 6
AR1I60210003, Sola, -49.9920, -72.8330, 1.2000, , 6
AR1I60111007, de la Silla, -50.4750, -73.2000, 3.0000, , 5
CL1L42300002, Colonia, -47.1210, -73.4750, 409.4000, , 4
CL1L00201008, , -47.2000, -73.0600, 0.6000, , 7
CL1L00204049, , -47.5800, -73.8300, 0.8000, , 6
CL1L00203010, , -47.6300, -73.2100, 0.8000, , 4
CL1L00203066, , -47.5000, -73.1800, 1.7000, , 5
CL1L00204026, , -47.7300, -73.5500, 0.9000, , 6
CL1L11100001, Balmaceda, -51.4000, -73.3900, 63.0000, , 4
CL1L42420002, Fiero, -46.6500, -73.2840, 39.5000, , 4
AR1I60100003, Nevero 28 SW, -50.4000, -73.0000, 0.3000, , 6
CL1L00203023, , -47.6600, -73.3800, 1.4000, , 5
AR1I60236016, Portezuelo Plano, -49.0170, -72.9170, 3.0000, , 6
CL1L00202060, , -47.2500, -73.0000, 1.4000, , 6
AR1I60110012, 20, -50.5460, -73.0080, 0.5000, , 0
AR1I60120003, los Caballos, -50.1000, -72.9250, 2.0000, , 5
AR1I60110017, Nevero 14, -50.5420, -73.1250, 0.1000, , 6
CL1L00000006, Galeria, -52.7870, -73.0060, 13.6500, , 5
AR1I60220019, R Tunel Inferior, -49.3920, -73.0920, 15.0000, , 5
AR1I60210012, Nacimiento R Guanaco C, -49.8500, -73.0080, 1.5000, , 5
AR1I60236006, L del Desierto 10, -49.0640, -72.9360, 1.2000, , 6
AR1L44211021, Piramide 48, -47.6830, -72.3830, 0.4000, , 6
AR1I60236010, L del Desierto 6, -49.0420, -72.9250, 0.8000, , 6
AR1I60220008, Valle Moyano, -49.7000, -73.1830, 11.0000, , 5
CL1L00203065, , -47.5100, -73.1900, 0.4000, , 4
AR1I60114024, Codo 2, -49.7830, -73.0170, 1.0000, , 6
AR1I60110002, Cordon Cristales, -50.6670, -73.0580, 2.5000, , 5
CL1L00204015, , -47.7400, -73.5200, 0.5000, , 6
CL1L00203059, , -47.4300, -73.2100, 1.6000, , 4
AR1I60111016, Peninsula Mayo-Ameghino 5, -50.3880, -73.1670, 5.0000, , 5
CL1L54100001, Reichert, -46.5600, -73.4490, 82.5000, , 4
CL1L22100002, HPS41, -51.2400, -73.5000, 71.0000, , 4
CL1L00100009, GCN45, -52.8800, -73.2140, 0.9600, , 6
AR1L44220003, Sangra C, -48.4670, -72.4830, 1.5000, , 5
AR1I60110014, de los Dientes 18, -50.5540, -73.0500, 2.0000, , 0
AR1I60232004, R Blanco Central, -49.2920, -73.0360, 2.5000, , 6
CL1L03431002, Piedras, -53.1670, -72.6670, 0.9000, , 6
AR1I60111001, Valle S Cerro Moreno, -50.5250, -73.0330, 0.8000, , 5
CL1L00000051, GCN71, -53.0020, -73.2150, 1.0600, , 6
AR1I60110006, 8 R bank Rio Parona, -50.6080, -73.0580, 0.3000, , 0
CL1L00203022, , -47.6600, -73.4100, 3.7000, , 5
AR1I60114008, Cumbre Murallon, -49.8000, -73.4170, 3.0000, , 3
CL1L00203033, , -47.5800, -73.3700, 0.3000, , 4
CL1L03134006, , -53.2500, -72.8000, 1.6000, , 2
CL1L00201034, , -47.0400, -72.8700, 0.4000, , 6
CL1L00202035, , -47.3200, -73.1700, 0.4000, , 7
AR1I60231005, Pollone, -49.2750, -73.1000, 1.0000, , 6
CL1L44500001, Oriental, -48.5200, -73.1400, 74.0000, , 4
CL1L00204058, , -47.4300, -73.8500, 1.5000, , 6
AR1L44211002, Cupula, -47.9830, -72.3830, 2.0000, , 5
AR1L44211035, Penitentes S, -47.7170, -72.2000, 0.5000, , 6
AR1L44211019, Valle San Lorenzo 3, -47.7670, -72.3830, 0.9000, , 6
CL1L03012001, , -53.2830, -72.9330, 0.6000, , 6
CL1L00204039, , -47.6500, -73.7600, 0.3000, , 4
CL1L00202019, , -47.4100, -73.1000, 0.4000, , 7
AR1I60114027, Cerro Norte 3, -49.8000, -73.0080, 1.5000, , 6
CL1L00201025, , -47.0900, -73.0100, 0.5000, , 7
AR1L44211004, Aspero II, -47.8750, -72.3670, 0.5000, , 6
CL1L03021003, , -53.3170, -72.8500, 1.7000, , 2
CL1L00203060, , -47.4500, -73.2300, 2.9000, , 4
CL1L00202023, , -47.4400, -73.1200, 1.3000, , 6
AR1L44211044, San Lorenzo II, -47.6330, -72.2330, 0.1000, , 6
CL1L03132001, , -53.2330, -72.9500, 1.4000, , 2
AR1I61000002, H. Y. 2, -47.9000, -72.2500, 0.1000, , 6
CL1L00204032, , -47.7300, -73.7800, 0.3000, , 7
CL1L00000001, GCN02, -52.6650, -73.0400, 6.9100, , 6
CL1L00204025, , -47.7200, -73.6000, 0.9000, , 4
CL1L42400001, U5, -47.0480, -73.3610, 5.9000, , 4
CL1L41100001, Steffen, -47.3860, -73.6800, 441.0000, , 4
CL1L00201014, , -47.0300, -73.3000, 123.0000, , 5
AR1I60212004, R Condor 6, -49.8000, -72.9500, 0.5000, , 6
CL1L00204071, , -47.4500, -73.4800, 5.8000, , 5
CL1L00204043, , -47.6200, -73.7500, 0.1000, , 7
CL1L41100003, U2, -47.4500, -73.4980, 9.5000, , 4
AR1L44211031, Cerro Cono 2, -47.7500, -72.2670, 1.1000, , 5
CL1L00204074, , -47.5300, -73.5300, 1.8000, , 4
AR1I60220003, R Alfredo S, -49.7170, -72.8970, 0.8000, , 6
CL1L00204050, , -47.5700, -73.8400, 0.7000, , 4
AR1L44211012, Tres Hermanos 1, -47.8330, -72.5000, 1.0000, , 5
CL1L00204048, , -47.5500, -73.8100, 0.5000, , 4
CL1L03021002, , -53.3170, -72.8500, 3.0000, , 5
AR1I60232008, de las Torres, -49.2460, -73.0830, 1.5000, , 6
AR1I60112021, Cerro Mayo E, -50.3330, -73.2920, 3.5000, , 5
CL1L00100001, GCN76, -53.0670, -73.2430, 0.3500, , 6
CL1L42100003, Pared Norte, -47.3550, -73.3910, 78.2000, , 4
CL1L11100006, Olvidado, -50.8170, -73.1830, 18.5000, , 5
AR1I60236005, L del Desierto 11, -49.0670, -72.9330, 1.0000, , 6
CL1L42400002, Nef, -46.9300, -73.3360, 163.6000, , 4
CL1L00203027, , -47.6400, -73.3500, 4.3000, , 5
AR1L42720002, Agudo E, -47.5330, -72.1670, 0.2000, , 6
CL1L23200003, HPS34, -50.7800, -73.4700, 137.0000, , 4
CL1L00201003, , -47.1800, -72.9500, 1.3000, , 4
CL1L03134001, , -53.2500, -72.8170, 0.8000, , 2
CL1L00203055, , -47.3700, -73.2700, 1.0000, , 4
CL1L00202026, , -47.4800, -73.1200, 1.4000, , 6
CL1L00203016, , -47.6800, -73.2700, 0.5000, , 6
AR1L44211009, Cerro Arido 2, -47.8330, -72.3330, 0.1000, , 7
AR1I60210013, Nacimiento R Guanaco N, -49.8330, -73.0000, 2.5000, , 5
AR1L42720003, Hermoso N, -47.5670, -72.1330, 0.9000, , 6
AR1I60120001, Gaviota, -50.0000, -73.0170, 3.5000, , 5
AR1I60212003, R Condor 3, -49.7920, -72.9670, 1.0000, , 6
CL1L00202001, , -47.4100, -73.0500, 0.3000, , 7
AR1I60114007, Tosello E, -49.8330, -73.3500, 2.0000, , 6
CL1L00203058, , -47.3800, -73.2200, 0.6000, , 4
CL1L03011006, , -53.2830, -72.9500, 0.1000, , 6
AR1I60232012, del Morro Alto, -49.1670, -73.1250, 3.5000, , 5
CL1L00203032, , -47.6000, -73.3800, 0.6000, , 4
CL1L00100016, GCN43, -52.7640, -73.1620, 0.4400, , 6
CL1L32000004, Pio XI, -49.2600, -74.6900, 1265.0000, , 4
AR1L44211022, Piramide 49, -47.6830, -72.3830, 1.2000, , 5
CL1L00203067, , -47.5000, -73.1500, 0.4000, , 7
CL1L03132002, , -53.2330, -72.9500, 0.4000, , 5
CL1L00203008, , -47.6500, -73.1800, 1.0000, , 5
CL1L11100002, Tyndall, -51.1000, -73.4200, 331.0000, , 4
CL1L00203009, , -47.6500, -73.2200, 1.1000, , 7
AR1L44211041, Penitentes W, -47.7000, -72.2670, 0.1000, , 6
AR1L44211033, Cerro Peinado I, -47.7500, -72.2330, 0.0500, , 7
AR1L44211008, Aspero I, -47.8670, -72.3670, 1.3000, , 5
AR1I60112017, Escondido, -50.3420, -73.4170, 8.0000, , 5
AR1I60236022, Cerro Bonete, -49.0330, -72.8330, 1.0000, , 3
CL1L00203042, , -47.5300, -73.3500, 3.2000, , 5
CL1L31000001, Europa, -50.2800, -73.7100, 403.0000, , 4
CL1L34000001, Occidental, -48.8400, -74.9400, 244.0000, , 4
AR1L44220008, del Banado, -48.6330, -72.4000, 1.5000, , 6
CL1L00203001, , -47.6200, -73.2500, 1.2000, , 6
AR1I60114032, Meseta Tannhauser, -49.9130, -73.0170, 3.0000, , 5
CL1L00000021, GCN31, -52.8960, -73.0250, 2.1000, , 5
CL1L00203015, , -47.6800, -73.2700, 1.2000, , 6
CL1L00204024, , -47.7000, -73.5800, 1.0000, , 4
AR1I60114005, Cumbre Cono S, -49.9000, -73.4330, 1.5000, , 6
AR1I60210010, La Irene, -49.8830, -72.9670, 0.6000, , 6
AR1I60112022, de los Gemelos, -50.3170, -73.3000, 1.5000, , 5
CL1L00204067, , -47.4700, -73.5700, 0.7000, , 7
CL1L00202039, , -47.2700, -73.3200, 0.3000, , 7
CL1L03010004, , -53.2670, -73.0000, 1.3000, , 5
AR1I60114015, W Phister, -49.7830, -73.2000, 2.5000, , 6
AR1L44211037, Penitentes C, -47.6830, -72.2000, 2.0000, , 5
AR1L44212004, Colon, -48.4170, -72.3830, 5.0000, , 5
AR1I60114003, Espolon Bertrand E, -49.9390, -73.3500, 1.0000, , 6
AR1I60110005, 7 R bank Rio Parona, -50.6040, -73.0500, 0.3000, , 0
AR1I60233005, de la Vega, -49.1750, -73.0370, 1.5000, , 6
CL1L00000043, GCN63, -52.9210, -73.0300, 0.7500, , 6
CL1L00203012, , -47.6500, -73.2700, 0.9000, , 5
AR1I60114011, Cristal N, -49.7250, -73.2330, 2.0000, , 5
CL1L00201010, , -47.2000, -73.1900, 3.3000, , 5
CL1L03133005, , -53.2500, -72.9670, 0.8000, , 2
AR1I60114018, Phister-Moyano, -49.7920, -73.1500, 7.0000, , 5
AR1I60238002, del Bosque N, -49.1580, -72.9170, 1.0000, , 6
AR1I60111002, Cerro Moreno, -50.5210, -73.0500, 0.5000, , 6
AR1I60114019, Cresta W Cerro Moyano, -49.7830, -73.1330, 2.0000, , 6
AR1I60220006, Cerro Moyano, -49.7330, -73.1460, 5.0000, , 5
CL1L00203025, , -47.6700, -73.3100, 0.4000, , 6
CL1L00100006, GCN38, -52.8700, -73.1280, 9.4700, , 4
CL1L00201006, , -47.2000, -73.0100, 2.9000, , 4
CL1L00203006, , -47.6000, -73.1600, 1.5000, , 5
CL1L03133001, , -53.2830, -72.8830, 1.8000, , 2
AR1I60236002, L del Desierto 14, -49.0780, -72.9470, 1.2000, , 6
AR1L44220005, Pitersen N, -48.5170, -72.4830, 4.5000, , 5
AR1I60220015, Bajo Mascarello, -49.6080, -73.0790, 1.0000, , 5
CL1L00204031, , -47.7400, -73.8000, 1.0000, , 4
AR1L44211006, Aspero IV, -47.8750, -72.3670, 0.2000, , 6
CL1L00202016, , -47.5100, -73.0500, 0.5000, , 6
CL1L00000045, GCN34, -52.8990, -73.0460, 0.2100, , 7
CL1L00202029, , -47.4400, -73.1800, 2.2000, , 5
AR1L44211048, Hermoso W, -47.6000, -72.2170, 0.2000, , 6
AR1I60232009, del Puente, -49.2420, -73.0860, 3.0000, , 5
CL1L00100019, GCN08, -52.7090, -73.0520, 3.9500, , 3
CL1L23400001, Amalia, -50.9200, -73.5200, 157.0000, , 4
CL1L00202021, , -47.4000, -73.1100, 0.8000, , 7
CL1L00201031, , -47.0700, -72.9200, 1.4000, , 5
CL1L00202053, , -47.3000, -73.0700, 1.1000, , 5
AR1I60233007, R Blanco, -49.1330, -73.0500, 5.0000, , 5
CL1L00000031, GCN68, -52.9970, -73.0220, 4.1000, , 3
AR1L44211003, Dosaguas, -47.9830, -72.3830, 1.3000, , 6
AR1L44211011, Cerro Arido 3, -47.8330, -72.2830, 0.3000, , 6
AR1L44220010, Josefina S, -48.7500, -72.4500, 0.8000, , 6
AR1I60220004, Santa Maria, -49.6880, -72.9140, 1.5000, , 5
AR1I60231004, Cerro Rincon, -49.2750, -73.1170, 1.5000, , 3
CL1L00202033, , -47.3300, -73.2000, 1.2000, , 5
AR1I60112012, Cerro Paredon W, -50.4040, -73.4290, 1.5000, , 5
AR1I60114013, Divisadero W, -49.7500, -73.2080, 1.0000, , 6
CL1L03012002, , -53.3000, -72.9000, 0.1000, , 7
CL1L00202047, , -47.2600, -73.1400, 0.4000, , 7
CL1L00204028, , -47.7500, -73.7900, 0.5000, , 6
CL1L00203046, , -47.5200, -73.4500, 1.0000, , 5
CL1L00000017, GCN27, -52.8710, -73.0340, 6.3700, , 6
AR1I60220013, Cerro Mascarello, -49.6250, -73.1170, 4.0000, , 5
CL1L00204059, , -47.4300, -73.8300, 0.4000, , 6
AR1I60210004, del Puesto Seccion, -49.9460, -72.9000, 0.8000, , 6
CL1L00202049, , -47.2700, -73.1300, 0.3000, , 7
AR1I60111011, Angosto, -50.4290, -73.2170, 2.0000, , 5
AR1I60111015, Peninsula Mayo-Ameghino 6, -50.3960, -73.1750, 1.5000, , 5
CL1L30110001, Guilardi, -50.3600, -73.7400, 148.0000, , 4
AR1I60233001, R Condor 3, -49.1890, -73.0720, 0.5000, , 6
AR1I60113009, Bifurcado (Onelli), -50.1500, -73.4250, 5.0000, , 5
CL1L00204064, , -47.4500, -73.6300, 0.4000, , 4
AR1I60111013, de la Lechuza, -50.4330, -73.1830, 2.0000, , 6
AR1I60235003, del Rancho, -49.0500, -72.9830, 2.2000, , 5
CL1L00201020, , -47.1100, -73.0500, 0.2000, , 7
AR1I60232007, de la Horquilla, -49.2500, -73.0830, 4.5000, , 5
CL1L00100017, GCN09, -52.7530, -73.1080, 51.4600, , 4
AR1I60112020, Mayo E, -50.3460, -73.3000, 0.5000, , 6
CL1L51000002, HPN 2, -47.2860, -73.8070, 104.9000, , 4
CL1L03134004, , -53.2830, -72.8670, 5.8000, , 5
AR1I60112007, Fondo Canal Mayo 3, -50.3750, -73.3000, 0.5000, , 5
AR1L44211045, San Lorenzo V, -47.6170, -72.2330, 0.0500, , 7
CL1L00203049, , -47.4200, -73.3500, 1.1000, , 4
CL1L00202015, , -47.5000, -73.0500, 0.6000, , 6
CL1L00000049, GCN65, -52.9560, -73.1540, 0.7400, , 6
CL1L00202022, , -47.4300, -73.1200, 0.8000, , 7
CL1L41100004, U3, -47.4650, -73.4590, 18.5000, , 4
CL1L00202037, , -47.3400, -73.2600, 0.8000, , 6
AR1L42720004, San Lorenzo N, -47.5830, -72.2670, 8.5000, , 5
CL1L42400003, Soler, -46.8790, -73.2870, 50.1000, , 4
CL1L00204060, , -47.4200, -73.8300, 0.4000, , 6
AR1L44220009, Josefina N, -48.7330, -72.4830, 0.5000, , 6
CL1L00000046, GCN35, -52.9020, -73.0630, 1.9100, , 5
