wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, primary_class 
AR1I60220007, del Cerro Divisadero, -49.7220, -73.1750, 4.0000, , 6
AR1I60232016, R Electrico E, -49.2250, -73.0330, 0.8000, , 6
AR1L44211030, Cerro Cono, -47.7670, -72.2670, 2.0000, , 5
CL1L00204054, , -47.5100, -73.8100, 1.8000, , 6
AR1I60114014, Ante-cumbre Phister N, -49.7670, -73.1920, 1.5000, , 6
CL1L00203044, , -47.5200, -73.3800, 0.5000, , 4
CL1L00204020, , -47.7500, -73.5800, 1.0000, , 6
AR1L44211050, Hermoso E, -47.6000, -72.1830, 0.6000, , 6
CL1L00203003, , -47.5900, -73.2000, 1.0000, , 6
CL1L00201024, , -47.0800, -73.0100, 0.3000, , 7
AR1I60114012, del Pico Campamento, -49.7420, -73.2250, 1.0000, , 5
CL1L00202018, , -47.4700, -73.0900, 5.1000, , 6
CL1L00204005, , -47.6800, -73.5500, 2.0000, , 6
AR1L44211016, Valle San Lorenzo 1, -47.8000, -72.3830, 3.0000, , 5
AR1L44211028, Cerro Cono 6, -47.7830, -72.2830, 1.5000, , 5
CL1L03132004, , -53.2170, -72.9830, 1.9000, , 2
CL1L11100004, Pingo, -50.9800, -73.4000, 71.0000, , 4
CL1L00204057, , -47.4600, -73.8000, 0.6000, , 4
CL1L00000047, GCN36, -52.9070, -73.0770, 1.8800, , 3
CL1L00201016, , -47.0700, -73.1300, 0.9000, , 6
CL1L00100002, GCN77, -53.0650, -73.2680, 0.3600, , 6
CL1L00202048, , -47.2700, -73.1300, 0.2000, , 7
AR1I60210005, Pintado N, -49.9580, -72.9830, 2.5000, , 5
AR1L44220007, Toro Negro, -48.6170, -72.3830, 1.0000, , 6
AR1I60232013, Gorra Blanca, -49.2000, -73.1080, 11.0000, , 5
CL1L00202045, , -47.2500, -73.1500, 0.6000, , 6
AR1I60234002, Mylodon C, -49.0960, -73.0500, 5.5000, , 5
AR1I60111008, de los Lenadores, -50.4330, -73.1170, 1.0000, , 5
CL1L00203011, , -47.6300, -73.2500, 0.7000, , 6
CL1L00000030, GCN56, -52.9640, -73.0260, 2.3300, , 5
CL1L03430001, Perez, -53.3670, -72.6500, 0.1000, , 6
AR1L11130001, Rio Vizcacha, -50.6500, -72.2170, 1.5000, , 6
AR1I60112009, Fondo Canal Mayo 1, -50.3750, -73.3170, 0.5000, , 6
AR1I60220018, R Tunel Superior, -49.4000, -73.1250, 5.5000, , 5
CL1L00201032, , -47.0800, -72.9000, 0.7000, , 4
CL1L00204034, , -47.7000, -73.7800, 0.7000, , 4
CL1L00201007, , -47.2100, -73.0400, 0.5000, , 6
CL1L03135003, , -53.2500, -72.8170, 0.5000, , 6
AR1I60236012, L del Desierto 4, -49.0330, -72.9000, 1.2000, , 6
CL1L42100004, U4, -47.3190, -73.3340, 10.0000, , 4
CL1L00203034, , -47.5800, -73.3800, 0.6000, , 6
CL1L00204002, , -47.6700, -73.6000, 1.4000, , 5
CL1L00202010, , -47.4600, -73.0400, 1.7000, , 6
AR1I60236024, Vera, -49.0830, -72.8830, 0.5000, , 6
CL1L00201023, , -47.0700, -73.0300, 1.9000, , 5
CL1L00202013, , -47.5000, -73.0300, 0.3000, , 4
CL1L00203061, , -47.4800, -73.2400, 1.2000, , 4
AR1I60111017, Peninsula Mayo-Ameghino 4, -50.3750, -73.1420, 1.5000, , 5
CL1L00203007, , -47.6200, -73.1300, 0.5000, , 6
AR1I60212006, R Condor 1, -49.7830, -72.9330, 1.0000, , 6
CL1L00204038, , -47.6500, -73.8000, 0.8000, , 5
AR1I60220014, Cerro Fortaleza W, -49.6170, -73.0330, 1.5000, , 5
CL1L00000036, GCN74, -53.0460, -73.0790, 0.1300, , 6
CL1L00203041, , -47.5400, -73.3200, 0.7000, , 7
CL1L00204012, , -47.7200, -73.5000, 0.7000, , 6
CL1L23100001, HPS28, -50.4500, -73.4800, 63.0000, , 4
CL1L00203035, , -47.5300, -73.4200, 5.2000, , 5
CL1L03133006, , -53.2500, -72.9330, 0.2000, , 6
CL1L00000018, GCN28, -52.8910, -72.9880, 0.6400, , 6
CL1L03134005, , -53.2670, -72.8670, 0.2000, , 6
AR1I60236011, L del Desierto 5, -49.0390, -72.9170, 1.6000, , 6
CL1L00203064, , -47.5000, -73.1900, 0.3000, , 4
CL1L00100008, GCN44, -52.8600, -73.2210, 2.4600, , 6
AR1I60111003, E bifurcado, -50.5210, -73.0670, 2.0000, , 5
CL1L03431001, Henry, -53.4170, -72.6670, 0.1000, , 6
CL1L03133003, , -53.2670, -72.9170, 2.7000, , 2
CL1L00000054, GCN75, -53.0570, -73.2510, 0.3400, , 6
AR1I60113010, Onelli, -50.1500, -73.4800, 84.0000, , 4
CL1L00203052, , -47.4700, -73.3000, 0.7000, , 4
CL1L00203029, , -47.6200, -73.3500, 2.8000, , 5
AR1I60112015, Aguilera, -50.3580, -73.4450, 13.0000, , 5
AR1I60114010, Suspendido del Campana, -49.6670, -73.1670, 0.5000, , 6
CL1L00204001, , -47.6800, -73.6400, 1.9000, , 6
CL1L00203056, , -47.3700, -73.2600, 1.0000, , 4
CL1L42300001, Arco, -47.2860, -73.3890, 41.1000, , 4
CL1L31100001, HPS19, -49.9900, -73.7600, 176.0000, , 4
CL1L00203013, , -47.6500, -73.2500, 1.0000, , 6
CL1L00202025, , -47.4700, -73.1200, 1.0000, , 6
AR1I60220002, R Alfredo C, -49.7120, -72.9000, 0.5000, , 6
AR1L44300001, R Grande E, -49.0330, -72.7830, 1.2000, , 5
AR1I60236020, Cerro Sin Nombre Inferior, -48.9830, -72.9170, 1.5000, , 5
CL1L00203039, , -47.5500, -73.3100, 3.4000, , 5
AR1I60238003, Cerro del Bosque Alto, -49.1360, -72.9000, 2.5000, , 6
AR1I60112004, Canal Mayo E, -50.3500, -73.2500, 8.0000, , 5
AR1I60114001, Bertrand S, -49.9920, -73.3670, 25.5000, , 5
AR1I60231001, Solo, -49.3420, -73.0750, 1.8000, , 6
CL1L32000001, Greve, -48.9100, -73.9500, 438.0000, , 4
CL1L54000001, San Rafael, -46.7040, -73.6330, 752.5000, , 4
AR1I60231002, Cerro Torre, -49.3330, -73.0330, 24.5000, , 5
AR1I60112016, Chico de la Laguna Escondida, -50.3710, -73.4330, 2.5000, , 6
